timestamp,thermistor_v,photoresistor_v
1202.3,2.07,1.25
1202.8,2.07,1.24
1203.3,2.07,1.54
1203.8,2.07,1.28
1204.3,2.08,1.27
1204.8,2.08,1.32
1205.3,2.08,1.31
1205.8,2.08,1.3
1206.3,2.08,1.3
1206.8,2.08,1.26
1207.3,2.08,1.24
1207.8,2.08,1.24
1208.3,2.08,1.25
1208.8,2.08,1.27
1209.3,2.08,1.28
1209.8,2.08,1.3
1210.3,2.08,1.31
1210.8,2.08,1.32
1211.3,2.08,1.3
1211.8,2.08,1.26
1212.3,2.08,1.28
1212.8,2.08,1.28
1213.3,2.08,1.26
1213.8,2.08,1.27
1214.3,2.08,1.31
1214.8,2.08,1.31
1215.3,2.08,1.31
1215.8,2.08,1.31
1216.3,2.08,1.3
1216.9,2.08,1.28
1217.4,2.08,1.26
1217.9,2.08,1.26
1218.4,2.08,1.28
1218.9,2.08,1.26
1219.4,2.08,1.28
1219.9,2.08,1.31
1220.4,2.08,1.33
1220.9,2.08,1.32
1221.4,2.08,1.33
1221.9,2.08,1.3
1222.4,2.08,1.3
1222.9,2.08,1.29
1223.4,2.08,1.27
1223.9,2.08,1.28
1224.4,2.08,1.28
1224.9,2.08,1.3
1225.4,2.08,1.3
1225.9,2.08,1.33
1226.4,2.08,1.34
1226.9,2.08,1.33
1227.4,2.08,1.31
1227.9,2.08,1.29
1228.4,2.08,1.27
1228.9,2.08,1.26
1229.4,2.08,1.27
1229.9,2.08,1.27
1230.4,2.08,1.28
1230.9,2.08,1.31
1231.4,2.08,1.34
1231.9,2.08,1.35
1232.4,2.08,1.31
1232.9,2.08,1.3
1233.4,2.08,1.3
1233.9,2.08,1.26
1234.4,2.08,1.26
1234.9,2.08,1.28
1235.4,2.08,1.27
1235.9,2.08,1.28
1236.4,2.08,1.3
1236.9,2.08,1.32
1237.4,2.08,1.31
1237.9,2.08,1.3
1238.4,2.08,1.29
1238.9,2.08,1.27
1239.4,2.08,1.26
1239.9,2.08,1.27
1240.4,2.08,1.26
1240.9,2.08,1.28
1241.4,2.08,1.29
1241.9,2.08,1.29
1242.4,2.08,1.32
1242.9,2.08,1.33
1243.4,2.08,1.33
1243.9,2.08,1.32
1244.4,2.08,1.33
1244.9,2.08,1.29
1245.4,2.08,1.28
1245.9,2.08,1.28
1246.4,2.08,1.71
1246.9,2.08,1.28
1247.4,2.08,1.28
1247.9,2.08,1.83
1248.4,2.08,1.91
1248.9,2.08,1.85
1249.4,2.08,1.87
1249.9,2.08,1.83
1250.4,2.08,1.32
1250.9,2.08,1.32
1251.4,2.08,1.29
1251.9,2.08,1.28
1252.4,2.08,1.29
1252.9,2.08,1.27
1253.4,2.08,1.27
1253.9,2.08,1.26
1254.4,2.08,1.27
1254.9,2.08,1.29
1255.4,2.08,1.3
1255.9,2.08,1.32
1256.4,2.08,1.31
1256.9,2.08,1.3
1257.4,2.08,1.29
1257.9,2.08,1.29
1258.4,2.08,1.27
1258.9,2.07,1.25
1259.4,2.07,1.24
1259.9,2.07,1.24
1260.4,2.07,1.24
1260.9,2.07,1.25
1261.4,2.07,1.26
1261.9,2.07,1.27
1262.4,2.07,1.32
1262.9,2.06,1.32
1263.4,2.07,1.33
1263.9,2.07,1.33
1264.4,2.07,1.33
1264.9,2.07,1.32
1265.4,2.07,1.34
1265.9,2.07,1.35
1266.4,2.07,1.43
1266.9,2.07,1.27
1267.4,2.07,1.54
1267.9,2.07,1.3
1268.4,2.07,1.35
1268.9,2.07,1.28
1269.4,2.06,1.29
1269.9,2.06,1.3
1270.4,2.07,1.32
1270.9,2.07,1.33
1271.4,2.07,1.34
1271.9,2.07,1.34
1272.4,2.06,1.42
1272.9,2.06,1.44
1273.4,2.06,1.43
1273.9,2.06,1.44
1274.4,2.06,1.43
1274.9,2.06,1.43
1275.4,2.06,1.44
1275.9,2.06,1.45
1276.4,2.06,1.46
1276.9,2.06,1.46
1277.4,2.07,1.48
1277.9,2.06,1.48
1278.4,2.06,1.49
1278.9,2.06,1.5
1279.4,2.07,1.5
1279.9,2.07,1.5
1280.4,2.07,1.49
1280.9,2.07,1.48
1281.4,2.07,1.47
1281.9,2.07,1.45
1282.4,2.07,1.44
1282.9,2.07,1.44
1283.4,2.07,1.44
1283.9,2.07,1.45
1284.4,2.07,1.46
1284.9,2.07,1.49
1285.4,2.07,1.51
1285.9,2.07,1.51
1286.4,2.07,1.51
1286.9,2.07,1.51
1287.4,2.07,1.5
1287.9,2.07,1.5
1288.4,2.07,1.48
1288.9,2.07,1.46
1289.5,2.07,1.45
1290.0,2.07,1.45
1290.5,2.07,1.46
1291.0,2.07,1.48
1291.5,2.07,1.5
1292.0,2.06,1.51
1292.5,2.06,1.53
1293.0,2.06,1.53
1293.5,2.06,1.52
1294.0,2.06,1.51
1294.5,2.06,1.49
1295.0,2.06,1.47
1295.5,2.06,1.46
1296.0,2.06,1.46
1296.5,2.06,1.47
1297.0,2.06,1.48
1297.5,2.06,1.49
1298.0,2.07,1.5
1298.5,2.06,1.52
1299.0,2.07,1.53
1299.5,2.07,1.53
1300.0,2.07,1.5
1300.5,2.07,1.48
1301.0,2.07,1.46
1301.5,2.07,1.45
1302.0,2.07,1.47
1302.5,2.07,1.48
1303.0,2.07,1.5
1303.5,2.07,1.5
1304.0,2.07,1.52
1304.5,2.07,1.52
1305.0,2.07,1.51
1305.5,2.07,1.5
1306.0,2.06,1.48
1306.5,2.06,1.46
1307.0,2.06,1.46
1307.5,2.06,1.46
1308.0,2.06,1.47
1308.5,2.06,1.48
1309.0,2.06,1.5
1309.5,2.06,1.52
1310.0,2.06,1.52
1310.5,2.06,1.51
1311.0,2.06,1.49
1311.5,2.07,1.47
1312.0,2.07,1.46
1312.5,2.07,1.46
1313.0,2.07,1.47
1313.5,2.07,1.49
1314.0,2.07,1.5
1314.5,2.07,1.52
1315.0,2.07,1.53
1315.5,2.07,1.51
1316.0,2.06,1.5
1316.5,2.06,1.47
1317.0,2.07,1.46
1317.5,2.06,1.46
1318.0,2.06,1.47
1318.5,2.07,1.49
